stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type
70059,70059,Wonderland,,,,42.413514,-70.991714,RapidTransit,,,level_0_platform,0,place-wondl,1,Revere,,,1
70060,70060,Wonderland,,,,42.413361,-70.991685,RapidTransit,,,level_0_platform,0,place-wondl,1,Revere,,,1
place-smary,place-smary,Saint Mary's Street,,,,42.345974,-71.107353,,,,,1,,1,Brookline,,,
70211,70211,Saint Mary's Street,,,,42.345884,-71.107697,RapidTransit,,,level_median,0,place-smary,1,Brookline,,,0
70212,70212,Saint Mary's Street,,,,42.346007,-71.107166,RapidTransit,,,level_median,0,place-smary,1,Brookline,,,0
place-PB-0356,place-PB-0356,Plymouth,,,,41.981278,-70.690421,CR-zone-8,,,,1,,1,Plymouth,,,
place-PB-0356-0,place-PB-0356-0,platform 0,,,,41.981278,-70.690421,CR-zone-8,,,,0,place-PB-0356,1,Plymouth,,,2
place-PB-0356-1,place-PB-0356-1,platform 1,,,,41.981278,-70.690421,CR-zone-8,,,,0,place-PB-0356,1,Plymouth,,,2
place-wtcst,place-wtcst,World Trade Center,,,,42.34863,-71.04246,,,,,1,,1,Boston,,,
74613,74613,World Trade Center,,,,42.34863,-71.04246,SLWaterfrontNonLogan,,,level_-1_platform,0,place-wtcst,1,Boston,,,3
74615,74615,World Trade Center,,,,42.34863,-71.04246,SLWaterfrontNonLogan,,,level_-1_platform,0,place-wtcst,1,Boston,,,3
place-nubn,place-nubn,Nubian,,,,42.329544,-71.083982,,,,,1,,1,Boston,,,
64,64,Nubian,,,,42.329789,-71.083887,ExpressBus-Downtown,,,,0,place-nubn,1,Boston,Busway,Washington Street,3
place-WR-0062,place-WR-0062,Wyoming Hill,,,,42.451731,-71.069379,CR-zone-1,,,,1,,2,Melrose,,,
place-WR-0062-0,place-WR-0062-0,platform 0,,,,42.451731,-71.069379,CR-zone-1,,,,0,place-WR-0062,2,Melrose,,,2
place-WR-0062-1,place-WR-0062-1,platform 1,,,,42.451731,-71.069379,CR-zone-1,,,,0,place-WR-0062,2,Melrose,,,2
place-plymouth-center,place-plymouth-center,Plymouth Center,,,,0,0,,,,,1,,1,Plymouth,,,
place-plymouth-center-0,place-plymouth-center-0,platform 0,,,,0,0,,,,,0,place-plymouth-center,1,Plymouth,,,2
place-plymouth-center-1,place-plymouth-center-1,platform 1,,,,0,0,,,,,0,place-plymouth-center,1,Plymouth,,,2
place-bomnl,place-bomnl,Bowdoin,,,,42.361365,-71.062037,,,,,1,,2,Boston,,,
70038,70038,Bowdoin,,,,42.361365,-71.062037,RapidTransit,,,level_-1_platform,0,place-bomnl,2,Boston,,,1
70838,70838,Bowdoin,,,,42.361365,-71.062037,RapidTransit,,,level_-1_platform,0,place-bomnl,2,Boston,,,1
place-WML-0214,place-WML-0214,Framingham,,,,42.276108,-71.420055,CR-zone-5,,,,1,,1,Framingham,,,
place-WML-0214-0,place-WML-0214-0,platform 0,,,,42.276108,-71.420055,CR-zone-5,,,,0,place-WML-0214,1,Framingham,,,2
place-WML-0214-1,place-WML-0214-1,platform 1,,,,42.276108,-71.420055,CR-zone-5,,,,0,place-WML-0214,1,Framingham,,,2
place-WML-0147,place-WML-0147,Wellesley Square,,,,42.297526,-71.294173,CR-zone-3,,,,1,,2,Wellesley,,,
place-WML-0147-0,place-WML-0147-0,platform 0,,,,42.297526,-71.294173,CR-zone-3,,,,0,place-WML-0147,2,Wellesley,,,2
place-WML-0147-1,place-WML-0147-1,platform 1,,,,42.297526,-71.294173,CR-zone-3,,,,0,place-WML-0147,2,Wellesley,,,2
place-WR-0264,place-WR-0264,Lawrence,,,,42.701806,-71.15198,CR-zone-6,,,,1,,1,Lawrence,,,
place-WR-0264-0,place-WR-0264-0,platform 0,,,,42.701806,-71.15198,CR-zone-6,,,,0,place-WR-0264,1,Lawrence,,,2
place-WR-0264-1,place-WR-0264-1,platform 1,,,,42.701806,-71.15198,CR-zone-6,,,,0,place-WR-0264,1,Lawrence,,,2
place-FR-0167,place-FR-0167,Lincoln,,,,42.413641,-71.325512,CR-zone-4,,,,1,,2,Lincoln,,,
place-FR-0167-0,place-FR-0167-0,platform 0,,,,42.413641,-71.325512,CR-zone-4,,,,0,place-FR-0167,2,Lincoln,,,2
place-FR-0167-1,place-FR-0167-1,platform 1,,,,42.413641,-71.325512,CR-zone-4,,,,0,place-FR-0167,2,Lincoln,,,2
